step,action,reward,balance,shares_held,portfolio_value,price,timestamp
176,1.0,0.000439802437301114,0.0,0.23111005638526966,9891.91716698878,42801.76,2024-01-13 00:00:00
177,1.0,-0.0029565909513366933,0.0,0.23111005638526966,9862.351257475413,42673.83,2024-01-13 01:00:00
178,1.0,-0.003324055940989456,0.0,0.23111005638526966,9829.110698065519,42530.0,2024-01-13 02:00:00
179,1.0,0.0018474937907438289,0.0,0.23111005638526966,9847.585635972957,42609.94,2024-01-13 03:00:00
180,1.0,0.005317149067255923,0.0,0.23111005638526966,9900.757126645516,42840.01,2024-01-13 04:00:00
181,1.0,0.006033821352106498,0.0,0.23111005638526966,9961.095340166581,43101.09,2024-01-13 05:00:00
182,1.0,0.0011301281757239848,0.0,0.23111005638526966,9972.396621923821,43149.99,2024-01-13 06:00:00
183,1.0,-0.0010866794851233862,0.0,0.23111005638526966,9961.529827072587,43102.97,2024-01-13 07:00:00
184,1.0,0.0015493618180067643,0.0,0.23111005638526966,9977.023445252655,43170.01,2024-01-13 08:00:00
185,1.0,-0.005703796191588481,0.0,0.23111005638526966,9919.98548333677,42923.21,2024-01-13 09:00:00
186,1.0,-0.005155834247898929,0.0,0.23111005638526966,9868.42714085778,42700.12,2024-01-13 10:00:00
187,1.0,-0.0017592097492046379,0.0,0.23111005638526966,9850.835043365734,42624.0,2024-01-13 11:00:00
188,1.0,0.001406998023273445,0.0,0.23111005638526966,9864.905023598469,42684.88,2024-01-13 12:00:00
189,1.0,0.0012540031659464149,0.0,0.23111005638526966,9877.445055257933,42739.14,2024-01-13 13:00:00
190,1.0,0.002722014244105776,0.0,0.23111005638526966,9904.66519769899,42856.92,2024-01-13 14:00:00
191,1.0,0.006876910837800279,0.0,0.23111005638526966,9973.434306076993,43154.48,2024-01-13 15:00:00
192,1.0,-0.005987368230773245,0.0,0.23111005638526966,9913.560623769261,42895.41,2024-01-13 16:00:00
193,1.0,6.748413646437256e-05,0.0,0.23111005638526966,9914.235465133905,42898.33,2024-01-13 17:00:00
194,1.0,-0.0021336080405488247,0.0,0.23111005638526966,9892.899384728416,42806.01,2024-01-13 18:00:00
195,1.0,-0.00045667347141716165,0.0,0.23111005638526966,9888.332650014245,42786.25,2024-01-13 19:00:00
196,1.0,0.0019355467222265362,0.0,0.23111005638526966,9907.68811723651,42870.0,2024-01-13 20:00:00
197,1.0,0.0021594923668641058,0.0,0.23111005638526966,9929.283040905151,42963.44,2024-01-13 21:00:00
